Executable,DllName
ftp.exe,MSWSOCK.dll
ftp.exe,SspiCli.dll
FXSCOVER.exe,MFC42u.dll
FXSSVC.exe,VERSION.dll
FXSSVC.exe,TAPI32.dll
FXSSVC.exe,WINSPOOL.DRV
FXSSVC.exe,credui.dll
FXSSVC.exe,FXSTIFF.dll
FXSUNATD.exe,FXSAPI.dll
GamePanel.exe,d2d1.dll
GamePanel.exe,d3d11.dll
GamePanel.exe,DWrite.dll
GamePanel.exe,dcomp.dll
GamePanel.exe,msdrm.dll
GamePanel.exe,UxTheme.dll
GamePanel.exe,dxgi.dll
GamePanel.exe,UIAutomationCore.DLL
GamePanel.exe,dwmapi.dll
GenValObj.exe,CRYPTSP.dll
GenValObj.exe,bcd.dll
getmac.exe,SspiCli.dll
getmac.exe,wkscli.dll
getmac.exe,netutils.dll
getmac.exe,MPR.dll
getmac.exe,framedynos.dll
getmac.exe,srvcli.dll
gpfixup.exe,DSROLE.dll
gpfixup.exe,logoncli.dll
gpfixup.exe,netutils.dll
gpfixup.exe,ACTIVEDS.dll
gpfixup.exe,credui.dll
gpresult.exe,SspiCli.dll
gpresult.exe,logoncli.dll
gpresult.exe,netutils.dll
gpresult.exe,MPR.dll
gpresult.exe,srvcli.dll
gpresult.exe,NTDSAPI.dll
gpresult.exe,Secur32.dll
gpupdate.exe,GPAPI.dll
gpupdate.exe,USERENV.dll
gpupdate.exe,wevtapi.dll
hvax64.exe,KDSTUB.dll
hvix64.exe,KDSTUB.dll
hvsievaluator.exe,policymanager.dll
hvsievaluator.exe,DismApi.DLL
hvsievaluator.exe,configmanager2.dll
hvsievaluator.exe,omadmapi.dll
ie4uinit.exe,IEADVPACK.dll
ie4uinit.exe,iedkcs32.dll
ie4uinit.exe,urlmon.dll
ie4uinit.exe,WININET.dll
ie4uinit.exe,NETAPI32.dll
ie4uinit.exe,MLANG.dll
ie4ushowIE.exe,VERSION.dll
IESettingSync.exe,SspiCli.dll
IESettingSync.exe,Cabinet.dll
IESettingSync.exe,MPR.dll
IESettingSync.exe,UMPDC.dll
IESettingSync.exe,iertutil.dll
iexpress.exe,VERSION.dll
immersivetpmvscmgrsvr.exe,profapi.dll
immersivetpmvscmgrsvr.exe,WinSCard.dll
InfDefaultInstall.exe,newdev.dll
InfDefaultInstall.exe,drvstore.dll
ipconfig.exe,IPHLPAPI.DLL
ipconfig.exe,dhcpcsvc.DLL
ipconfig.exe,dhcpcsvc6.DLL
ipconfig.exe,DNSAPI.dll
iscsicli.exe,ISCSIDSC.dll
isoburn.exe,UxTheme.dll
klist.exe,SspiCli.dll
klist.exe,logoncli.dll
klist.exe,netutils.dll
ksetup.exe,logoncli.dll
ksetup.exe,SspiCli.dll
ksetup.exe,srvcli.dll
ksetup.exe,netutils.dll
ktmutil.exe,ktmw32.dll
label.exe,IfsUtil.dll
LaunchWinApp.exe,iertutil.dll
ldifde.exe,logoncli.dll
ldifde.exe,netutils.dll
ldifde.exe,urlmon.dll
ldp.exe,MFC42u.dll
ldp.exe,SspiCli.dll
LegacyNetUXHost.exe,wlanapi.dll
licensingdiag.exe,Cabinet.dll
licensingdiag.exe,CLIPC.dll
licensingdiag.exe,WINBRAND.dll
LicensingUI.exe,DUI70.dll
LicMgr.exe,LRWizDLL.dll
LicMgr.exe,credui.dll
LicMgr.exe,NTDSAPI.dll
LocationNotificationWindows.exe,msvcp110_win.dll
LockAppHost.exe,LockHostingFramework.dll
LockScreenContentServer.exe,DUI70.dll
LockScreenContentServer.exe,DUser.dll
LockScreenContentServer.exe,dwmapi.dll
lodctr.exe,loadperf.dll
logagent.exe,WININET.dll
logman.exe,SspiCli.dll
lpksetup.exe,dpx.dll
lpremove.exe,Bcp47Langs.dll
lpremove.exe,AppXDeploymentClient.dll
Magnify.exe,OLEACC.dll
Magnify.exe,MAGNIFICATION.dll
Magnify.exe,UIAutomationCore.DLL
makecab.exe,Cabinet.dll
manage-bde.exe,profapi.dll
MbaeParserTask.exe,wevtapi.dll
MbaeParserTask.exe,MbaeXmlParser.DLL
MbaeParserTask.exe,MobileNetworking.dll
mblctr.exe,BatMeter.dll
mblctr.exe,UxTheme.dll
mblctr.exe,dwmapi.dll
mblctr.exe,WINMM.dll
mblctr.exe,WTSAPI32.dll
MDEServer.exe,winmde.dll
MDMAgent.exe,msvcp110_win.dll
MDMAgent.exe,omadmapi.dll
MDMAgent.exe,dmEnrollEngine.DLL
MDMAppInstaller.exe,msvcp110_win.dll
MDMAppInstaller.exe,dmEnrollEngine.DLL
MDMAppInstaller.exe,WTSAPI32.dll
MDMAppInstaller.exe,msi.dll
MDMAppInstaller.exe,omadmapi.dll
MdmDiagnosticsTool.exe,MdmDiagnostics.dll
MdSched.exe,bcd.dll
mfpmp.exe,MFCORE.dll
mfpmp.exe,MFPlat.DLL
Microsoft.Uev.CscUnpinTool.exe,CSCAPI.dll
MicrosoftEdgeBCHost.exe,edgeIso.dll
MicrosoftEdgeCP.exe,edgeIso.dll
MicrosoftEdgeDevTools.exe,edgeIso.dll
MicrosoftEdgeSH.exe,iertutil.dll
MicrosoftEdgeSH.exe,edgeIso.dll
mmc.exe,UxTheme.dll
mmc.exe,DUser.dll
MoUsoCoreWorker.exe,dmiso8601utils.dll
MoUsoCoreWorker.exe,IPHLPAPI.DLL
MoUsoCoreWorker.exe,UMPDC.dll
MoUsoCoreWorker.exe,UpdatePolicy.dll
MoUsoCoreWorker.exe,DMCmnUtils.dll
MoUsoCoreWorker.exe,XmlLite.dll
MoUsoCoreWorker.exe,winsqlite3.dll
MoUsoCoreWorker.exe,profapi.dll
MRT.exe,USERENV.dll
MSchedExe.exe,MaintenanceUI.dll
msconfig.exe,MFC42u.dll
msconfig.exe,ATL.DLL
msconfig.exe,VERSION.dll
msconfig.exe,bcd.dll
msdt.exe,UxTheme.dll
msdt.exe,ATL.DLL
msdt.exe,DUser.dll
msdt.exe,wer.dll
msdt.exe,Secur32.dll
msdt.exe,WINHTTP.dll
msdt.exe,Cabinet.dll
msdtc.exe,MSDTCTM.dll
msg.exe,WINSTA.dll
msinfo32.exe,MFC42u.dll
msinfo32.exe,ATL.DLL
msinfo32.exe,POWRPROF.dll
msinfo32.exe,SLC.dll
mspaint.exe,MFC42u.dll
mspaint.exe,PROPSYS.dll
mspaint.exe,WINMM.dll
msra.exe,UxTheme.dll
msra.exe,NDFAPI.DLL
msra.exe,SspiCli.dll
msra.exe,USERENV.dll
mstsc.exe,WININET.dll
mstsc.exe,VERSION.dll
mstsc.exe,NETAPI32.dll
mstsc.exe,WINMM.dll
mstsc.exe,ktmw32.dll
mstsc.exe,IPHLPAPI.DLL
mtstocom.exe,SspiCli.dll
MuiUnattend.exe,SspiCli.dll
MultiDigiMon.exe,NInput.dll
MusNotificationUx.exe,USERENV.dll
MusNotificationUx.exe,XmlLite.dll
MusNotificationUx.exe,DMCmnUtils.dll
MusNotificationUx.exe,UPShared.dll
MusNotificationUx.exe,UpdatePolicy.dll
MusNotifyIcon.exe,XmlLite.dll
MusNotifyIcon.exe,UPShared.dll
MusNotifyIcon.exe,DMCmnUtils.dll
MusNotifyIcon.exe,UxTheme.dll
nbtstat.exe,MSWSOCK.dll
nbtstat.exe,IPHLPAPI.DLL
net.exe,MPR.dll
net.exe,wkscli.dll
